,class_names,fractal_dimension
0,ashtray,1.7978453644373014
1,cash machine,1.3413439854019498
2,popper,1.3888496767620264
3,compass,1.484708069097465
4,rubber band,1.7698948071603486
5,spring,1.6786109761971515
6,refrigerator magnet,1.6095888312879107
7,concrete mixer,1.6729744092589334
8,crane,1.6762737834886092
9,generator,1.4568046205137664
10,spray paint,1.690953879960864
11,pumpjack,1.601790974742475
12,aquarium,1.348200198907886
13,fishbowl,1.7303319076035457
14,pillar box,1.710155809066503
15,nano aquarium,1.435284008248537
16,spoon lure,1.8108402054523478
17,penfold post box,1.4568046205137664
18,bung,1.8064768534206888
19,cork,1.803969549070561
20,power plugs and sockets,1.7889194036903688
21,socket,1.8307087039929337
22,wall socket,1.8215234578099444
23,electronic component,1.781527334347233
24,battery,1.5580614055182942
25,capacitor,1.7419735184411622
26,coil,1.615466651596658
27,resistor,1.731276600211201
28,solar cell,1.5016220431975162
29,parachute,1.4160619326306092
30,umbrella,1.8047943514524636
31,cocktail umbrella,1.751798271286125
32,Aluminum alloy ladder,1.790581640399632
33,Wooden ladder,1.770129570364899
34,Bamboo ladder,1.2371949505879476
35,Parachute Umbrella,1.7018268409338542
36,Paper Oil Umbrella,1.7824459362273224
37,Transparent Umbrella,1.4359566861551207
38,birdcage,1.698525150926732
39,birdhouse,1.8135382088709826
40,cage,1.5603331655647357
41,chicken coop,1.655978729977846
42,rabbit hutch,1.5654760634126996
43,bird's nest,1.755707745769118
44,nest,1.730046580446139
45,wasp's nest,1.5608074630061621
46,whistle,1.6706719855624284
47,gold,1.6500887539703033
48,money,1.8147623752221929
49,cash,1.7923519672374792
50,paper money,1.7342799719294835
51,coinage,1.7891489940234313
52,bill,1.7937391198749204
53,magnifying glass,1.2997823166360312
54,lens,1.7513300846255273
55,microscope,1.7958766955949659
56,telescope,1.5848251616913553
57,telescopic sight,1.5766481186989514
58,rifle scopes,1.5991653482820907
59,LED Lens,1.7696919790194712
60,Triangular Prism,1.6676996881617359
61,Eyeglass Lens,1.7128581537156293
62,Cylindrical Lens,1.6867331282929134
63,bicycle wheel rim,1.8129557413682145
64,bobbin,1.8088503974906205
65,ferris wheel,1.4890433184903122
66,gear,1.781639112136176
67,inner tube,1.8244365450190125
68,pulley,1.789163005560881
69,tire,1.9416846315772625
70,waterwheel,1.3784298517760574
71,wheel,1.8033440171026416
72,fishing reel,1.8276344672373745
73,skateboard wheel,1.7088052472365425
74,brazier,1.6565689639693304
75,gearshift,1.680019115570643
76,handwheel,1.7709163374424974
77,hearth,1.3839206666016943
78,hot-water bottle,1.62166718964358
79,radiator,1.7550375654733836
80,roaster,1.6817602779123684
81,solar heater,1.6305098930652688
82,steering wheel,1.6824233282665941
83,tandoor,1.4333645483316284
84,direct vent fireplace,1.6160273105135163
85,masonry oven,2.0000000000031464
86,stop sign,1.7640808792800935
87,crosswalk sign,1.7581532324211917
88,billboard,1.8339369626415654
89,crosswalk,1.7029782527493589
90,speed bump,1.6706719855624284
91,yard marker,1.8652110248753337
92,signpost,1.8375198017402237
93,fingerpost,1.7672960696388462
94,signage,1.9426121228790727
95,speed sign,1.70159328178752
96,bell,1.793453891227505
97,electric bell,1.3413439854019498
98,timer,1.787818522710863
99,weathervane,1.0
100,fire alarm,1.321333300553611
101,bell buoy,1.2966518927891284
102,windbell,1.717051392823048
103,bicycle bell,1.6323956856530228
104,Electronic Clock,1.6676996881617359
105,Timer,1.7742052366489742
106,checker,1.8033161301199558
107,chessman,1.7425919167724104
108,chess set,1.6834831631668639
109,Chinese Chess,1.8209213508071176
110,Go,1.61068318047097
111,International Draughts or Checkers,1.7914717323512805
112,Chinese Checkers,1.65620684259126
113,Aeroplane Chess,1.7451673318021568
114,Shogi,1.7975702180357254
115,Land Wargame,1.7599468296435954
116,International Draughts,1.575264862848877
117,Reversi,1.7060063235164378
118,Nine Men's Morris,1.740527225625267
119,Tic-Tac-Toe,1.80170788984264
120,Makruk,1.7954591571852765
121,Sittuyin,1.8189131273548764
122,baby bed,1.637793004230936
123,bed,1.6836275962212066
124,bed pillow,1.7418233467848603
125,bunk bed,1.269407803349864
126,carrycot,1.7525112042002038
127,crib,1.2002677704205706
128,futon,1.7383848234750723
129,hammock,1.48659029215439
130,headboard,1.6565689639693304
131,hospital bed,1.515912611532864
132,lilo,1.615466651596658
133,mattress,1.7543114803338171
134,mattress pad,1.739834496625655
135,pillow,1.8354080207882149
136,throw pillow,1.7916162489453453
137,canopy bed,1.1376804043724875
138,emergency sleeping bag,1.4627556017522867
139,command module,1.7072061927240108
140,meteorite,1.7293426502646274
141,moon,1.52109282401167
142,satellite,1.8416005346320725
143,sun,1.558200223487033
144,satellite dish,1.7350665520330104
145,black hole,1.1565058019750105
146,Earth,1.6341088989074417
147,Mars,1.3839206666016943
148,Mercury,1.8089208027376569
149,Venus,1.0629899570957677
150,Saturn,1.4627556017522867
151,Jupiter,1.7174946121424637
152,Uranus,1.5722304255525352
153,Neptune,1.8866665173214208
154,pluto,1.8721191666537962
155,candy,1.76742802508752
156,brittle,1.7686751794311784
157,chewing gum,1.6068509605073988
158,candied apple,1.8231377620996165
159,candy cane,1.7110099368170397
160,chocolate,1.797066520031132
161,cocoa powder,1.8018535513433522
162,white chocolate,1.7203072656746279
163,gumdrop,1.7769121502133876
164,lollipop,1.771771813625852
165,marshmallow,1.6153120437550614
166,nougat bar,1.5436329209324988
167,jello,1.772254556150373
168,conserve,1.624097720046823
169,aspic,1.60697688195744
170,tanghulu,1.6487926490056317
171,chocolate-covered potato chips,1.7113038303469175
172,chocolate balls,1.8392066752524303
173,jelly babies,1.738265427944409
174,ribbon candy,1.6919903814267052
175,gummy bear,1.7063010744056573
176,weaving basket,1.8397952032245724
177,bag,1.8700195774174535
178,gun barrel,1.8774290388599408
179,basin,1.8485906549098778
180,basket,1.8509520462842597
181,bottle,1.9594155342339974
182,bucket,1.875976332861962
183,glasses case,1.7544966466900993
184,matchbox,1.8361941069145429
185,pot,1.9479399167956668
186,rain barrel,1.7475968969022433
187,wallet,1.8366352165179436
188,purse,1.8433095550259793
189,cask,1.8591746887906109
190,keg,1.8174212033180606
191,clay pot,1.8742519813112333
192,reusable shopping bag,1.8327599928426515
193,briefcase,1.807148937236616
194,laptop bag,1.697548598182616
195,Moisture-proof box,1.857256273359162
196,baby float,1.7772398263195606
197,air cushion,1.4997413769434822
198,breeches buoy,2.0000000000031464
199,fire extinguisher,1.8376180639060897
200,fireplug,1.6552925568865047
201,hydrant,1.725064396170242
202,life jacket,1.7527938666446128
203,life saver,1.7999896418791357
204,water wings,1.678930049863225
205,inflatable armbands,1.7827905852757822
206,life saving hammer,1.5510849109866212
207,descender,1.4782944974067191
208,escape rope,1.3683086724687272
209,rescue whistle,1.7140883419747683
210,fire mask,1.6074967084063942
211,smoke detector,1.0
212,lifeline,1.6282934760019472
213,fire emergency lights,1.4594477707891544
214,air breathing apparatus,1.7436108598801785
215,fire extinguisher cabinet,1.5201757920182866
216,blowgun,1.6058412797546726
217,cigar,1.6161483410655915
218,cigarette,1.755973686897697
219,cigarette butt,1.7417193975564376
220,discharge pipe,1.850750090881236
221,fire hose,1.7254343861740926
222,garden hose,1.8183845628686726
223,grab bar,1.8542642569461125
224,meerschaum,1.7680048873570406
225,smokestack,1.7589020863899372
226,test tube,1.6977554448575622
227,torpedo tube,1.6471488943563868
228,barber's pole,1.5079422220546315
229,peace pole,1.3949015874712634
230,opium pipe,1.5786005816739452
231,factory chimney,1.5570980760701993
232,pipe tobacco,1.7082941965323033
233,air duct,1.7940317906990042
234,Aluminum plastic tube,1.8390476388222305
235,single pole towel rack,1.6703975612167126
236,double bar towel rack,1.0
237,Towel rack,1.282226357509019
238,aspirator,1.3413439854019498
239,catheter,1.5079422220546315
240,dental appliance,2.0000000000031464
241,hypodermic needle,1.7577164601663986
242,pill,1.772400820757563
243,plaster,1.0
244,stethoscope,1.5599551001251404
245,stretcher,1.4778941828378533
246,swab,1.0
247,syringe,1.7036510094567234
248,injection,1.6729744092589334
249,mayo scissors,1.4953540168761406
250,thermometer,1.4485232352211954
251,temperature gun,1.6193064294636785
252,electrotherapy device,1.5079422220546315
253,CT machine,1.0
254,medical kit,1.4350582681425594
255,scalpel,1.596498839838567
256,dropper,1.4844043712624595
257,denture,1.4350582681425594
258,ECG machine,1.3509199181768963
259,sphygmomanometer,1.1565058019750105
260,CT scan,1.0
261,forehead mirror,1.6706719855624284
262,Snellen chart,1.3413439854019498
263,amulet,1.643226993542501
264,cross,1.7479839681507094
265,flag,1.8115046389252223
266,flagpole,1.7664649894466251
267,tomb,1.8020276027951745
268,gravestone,1.8473332220101266
269,handstamp,1.8708445537033331
270,mausoleum,1.5689309067927155
271,menhir,1.5213427558651196
272,shoulder board,1.550846954450532
273,shoulder patch,1.7600004154573914
274,totem pole,1.3763293541662995
275,medal,1.6990982277842221
276,trophy,1.7260635277870011
277,mascot,1.321333300553611
278,tomb of the unknown soldier,1.3413439854019498
279,cross of sacrifice,1.7830622987265803
280,shoulder sleeve insignia,1.6878929365134043
281,koinobori,1.755676742182629
282,joss paper,1.7834061268643553
283,paper ingot,1.6093325731374315
284,sacrificial candle,1.6175748673173085
285,Spirit card,1.336743526755818
286,incense burner,1.4794404318303627
287,Spirit Banner,1.4896746516438166
288,firecracker,1.6548148584776143
289,wreath,1.4740869530291802
290,fountain,1.3207766739884712
291,millstone,1.617843190310512
292,crystal,1.811800739409674
293,diamond,1.6910969362297201
294,ruby,1.7597486830593623
295,pearl,1.8267574313217931
296,chrysoberyl,1.7381163976049208
297,jadeite,1.7501048256512672
298,kyanite,1.7684498555002592
299,opal,1.673638878186189
300,rock crystal,1.7697286976647795
301,amethyst,1.7764131497309896
302,aquamarine,1.716366028040221
303,black opal,1.775513626415516
304,chrysoprase,1.7994441092559277
305,citrine,1.7893174432560983
306,emerald,1.7696278159772143
307,jade,1.6811109656062102
308,peridot,1.7572399138715906
309,rhodolite,1.7814259086136834
310,zircon,1.8377348715410258
311,yellow quartz,1.781931703468793
312,cobaltocalcite,1.2371949505879476
313,lake superior agate,1.857286436669649
314,opalite,1.7438579315581055
315,ring stone,1.4425849246974214
316,malachite,1.8277624160887616
317,wine rack,1.6999080448030566
318,high-heeled shoe,1.540757824576059
319,pot rack,1.644859791981198
320,bookcase,1.7488927559750151
321,cabinet,1.84102257808414
322,dresser,1.7531799746288768
323,clothes tree,1.8438012786609947
